139 = 0003;109
124 = 0005;123
232 = 0003;233
255 = 0007;23
265 = 46;45;44;43;42;41;40;39;38;37;36;35;34;33;32;155;156;142;143;129;130;131;132;148;149;150;151;152;153;154;16;217;202;187;173;174;175;176;161;162;163;164;165;181;166;182;183;184;185;188;157;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;17;18;19;20;21;22;23;24;25;26;27;28;29;30;144;145;146;147;158;159;160;167;168;169;170;171;172;186
266 = 31;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;133;134;135;136;137;138;139;140;141
270 = 0005
271 = 0003
272 = 0006
273 = 0000
280 = 000
